Energy (eV),Wavelength (A),Cross Section (Mb)
123.341,100.52,0.0101
123.482,100.41,0.0101
123.624,100.29,0.01
123.765,100.18,0.01
123.906,100.06,0.0099
124.047,99.95,0.0099
124.189,99.84,0.0099
124.33,99.72,0.0098
124.471,99.61,0.0098
124.612,99.5,0.0098
124.754,99.38,0.0097
124.895,99.27,0.0097
125.036,99.16,0.0097
125.177,99.05,0.0096
125.319,98.94,0.0096
125.46,98.82,0.0096
125.601,98.71,0.0095
125.742,98.6,0.0095
125.884,98.49,0.0095
126.025,98.38,0.0094
126.166,98.27,0.0094
126.307,98.16,0.0094
126.449,98.05,0.0093
126.59,97.94,0.0093
126.731,97.83,0.0093
126.872,97.72,0.0092
127.014,97.61,0.0092
127.155,97.51,0.0092
127.296,97.4,0.0091
127.437,97.29,0.0091
127.579,97.18,0.0091
127.72,97.08,0.009
127.861,96.97,0.009
128.002,96.86,0.009
128.143,96.75,0.009
128.285,96.65,0.0089
128.426,96.54,0.0089
128.567,96.44,0.0089
128.708,96.33,0.0088
128.85,96.22,0.0088
128.991,96.12,0.0088
129.132,96.01,0.0087
129.273,95.91,0.0087
129.415,95.8,0.0087
129.556,95.7,0.0087
129.697,95.59,0.0086
129.838,95.49,0.0086
129.98,95.39,0.0086
130.121,95.28,0.0085
130.262,95.18,0.0085
130.403,95.08,0.0085
130.545,94.97,0.0085
130.686,94.87,0.0084
130.827,94.77,0.0084
130.968,94.67,0.0084
131.11,94.57,0.0083
131.251,94.46,0.0083
131.392,94.36,0.0083
131.533,94.26,0.0083
131.675,94.16,0.0082
131.816,94.06,0.0082
131.957,93.96,0.0082
132.098,93.86,0.0081
132.24,93.76,0.0081
132.381,93.66,0.0081
132.522,93.56,0.0081
132.663,93.46,0.008
132.805,93.36,0.008
132.946,93.26,0.008
133.087,93.16,0.008
133.228,93.06,0.0079
133.37,92.96,0.0079
133.511,92.86,0.0079
133.652,92.77,0.0079
133.793,92.67,0.0078
133.935,92.57,0.0078
134.076,92.47,0.0078
134.217,92.38,0.0077
134.358,92.28,0.0077
134.5,92.18,0.0077
134.641,92.09,0.0077
134.782,91.99,0.0076
134.923,91.89,0.0076
135.064,91.8,0.0076
135.206,91.7,0.0076
135.347,91.6,0.0075
135.488,91.51,0.0075
135.629,91.41,0.0075
135.771,91.32,0.0075
135.912,91.22,0.0074
136.053,91.13,0.0074
136.194,91.03,0.0074
136.336,90.94,0.0074
136.477,90.85,0.0074
136.618,90.75,0.0073
136.759,90.66,0.0073
136.901,90.56,0.0073
137.042,90.47,0.0073
137.183,90.38,0.0072
137.324,90.29,0.0072
137.466,90.19,0.0072
137.607,90.1,0.0072
137.748,90.01,0.0071
137.889,89.92,0.0071
138.031,89.82,0.0071
138.172,89.73,0.0071
138.313,89.64,0.0071
138.454,89.55,0.007
138.596,89.46,0.007
138.737,89.37,0.007
138.878,89.28,0.007
139.019,89.18,0.0069
139.161,89.09,0.0069
139.302,89.0,0.0069
139.443,88.91,0.0069
139.584,88.82,0.0069
139.726,88.73,0.0068
139.867,88.64,0.0068
140.008,88.55,0.0068
140.149,88.47,0.0068
140.291,88.38,0.0067
140.432,88.29,0.0067
140.573,88.2,0.0067
140.714,88.11,0.0067
140.856,88.02,0.0067
140.997,87.93,0.0066
141.138,87.85,0.0066
141.279,87.76,0.0066
141.421,87.67,0.0066
141.562,87.58,0.0066
141.703,87.5,0.0065
141.844,87.41,0.0065
141.985,87.32,0.0065
142.127,87.23,0.0065
142.268,87.15,0.0065
142.409,87.06,0.0064
142.55,86.98,0.0064
142.692,86.89,0.0064
142.833,86.8,0.0064
142.974,86.72,0.0064
143.115,86.63,0.0063
143.257,86.55,0.0063
143.398,86.46,0.0063
143.539,86.38,0.0063
143.68,86.29,0.0063
143.822,86.21,0.0062
143.963,86.12,0.0062
144.104,86.04,0.0062
144.245,85.95,0.0062
144.387,85.87,0.0062
144.528,85.79,0.0061
144.669,85.7,0.0061
144.81,85.62,0.0061
144.952,85.53,0.0061
145.093,85.45,0.0061
145.234,85.37,0.006
145.375,85.29,0.006
145.517,85.2,0.006
145.658,85.12,0.006
145.799,85.04,0.006
145.94,84.96,0.006
146.082,84.87,0.0059
146.223,84.79,0.0059
146.364,84.71,0.0059
146.505,84.63,0.0059
146.647,84.55,0.0059
146.788,84.46,0.0059
146.929,84.38,0.0058
147.07,84.3,0.0058
147.212,84.22,0.0058
147.353,84.14,0.0058
147.494,84.06,0.0058
147.635,83.98,0.0057
147.777,83.9,0.0057
147.918,83.82,0.0057
148.059,83.74,0.0057
148.2,83.66,0.0057
148.341,83.58,0.0057
148.483,83.5,0.0056
148.624,83.42,0.0056
148.765,83.34,0.0056
148.906,83.26,0.0056
149.048,83.18,0.0056
149.189,83.11,0.0056
149.33,83.03,0.0055
149.471,82.95,0.0055
149.613,82.87,0.0055
149.754,82.79,0.0055
149.895,82.71,0.0055
150.036,82.64,0.0055
150.178,82.56,0.0054
150.319,82.48,0.0054
150.46,82.4,0.0054
150.601,82.33,0.0054
150.743,82.25,0.0054
150.884,82.17,0.0054
151.025,82.09,0.0054
151.166,82.02,0.0053
151.308,81.94,0.0053
151.449,81.87,0.0053
151.59,81.79,0.0053
151.731,81.71,0.0053
151.873,81.64,0.0053
152.014,81.56,0.0052
152.155,81.49,0.0052
152.296,81.41,0.0052
152.438,81.33,0.0052
152.579,81.26,0.0052
152.72,81.18,0.0052
152.861,81.11,0.0052
153.003,81.03,0.0051
153.144,80.96,0.0051
153.285,80.88,0.0051
153.426,80.81,0.0051
153.568,80.74,0.0051
153.709,80.66,0.0051
153.85,80.59,0.005
153.991,80.51,0.005
154.133,80.44,0.005
154.274,80.37,0.005
154.415,80.29,0.005
154.556,80.22,0.005
154.698,80.15,0.005
154.839,80.07,0.0049
154.98,80.0,0.0049
